created,tweet_text
Tue Apr 05 06:15:02 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:12:48 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:11:52 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:11:35 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:11:27 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:09:24 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:08:59 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:08:11 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:07:55 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:07:45 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:07:29 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:06:47 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:06:05 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:05:50 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:04:33 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:04:20 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:04:15 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:03:32 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:02:44 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:02:29 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:00:13 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
