date,open,high,low,close,volume,value
2022-04-04 9:00,56596000,57300000,55510000,57055000,5916.740186,3.34E+11
2022-04-05 9:00,57069000,57645000,56070000,56155000,4627.208651,2.63E+11
2022-04-06 9:00,56195000,56323000,53034000,53072000,6776.518826,3.72E+11
2022-04-07 9:00,53072000,54340000,52754000,53814000,5354.289371,2.87E+11
2022-04-08 9:00,53813000,54700000,52798000,52934000,5123.922396,2.76E+11
2022-04-09 9:00,52934000,53355000,52754000,53258000,2253.816753,1.20E+11
2022-04-10 9:00,53295000,53950000,52462000,52819000,2289.320776,1.22E+11
2022-04-11 9:00,52799000,53060000,50010000,50050000,5382.92605,2.78E+11
2022-04-12 9:00,50050000,51195000,49608000,50577000,4730.164656,2.38E+11
2022-04-13 9:00,50577000,51947000,49936000,51700000,3335.413278,1.70E+11
2022-04-14 9:00,51645000,51942000,50000000,50245000,3240.368356,1.66E+11
2022-04-15 9:00,50275000,51286000,50079000,50850000,2259.858439,1.14E+11
2022-04-16 9:00,50807000,51100000,50251000,50567000,1285.878108,65131786308
2022-04-17 9:00,50567000,50698000,49851000,49962000,1643.271089,82769167198
2022-04-18 9:00,49962000,51290000,48626000,50839000,3977.644332,1.98E+11
2022-04-19 9:00,50768000,51904000,50550000,51458000,2813.977539,1.44E+11
2022-04-20 9:00,51459000,52326000,51015000,51388000,2789.563537,1.44E+11
2022-04-21 9:00,51436000,53075000,50250000,50805000,4540.571121,2.36E+11
2022-04-22 9:00,50805000,51000000,49526000,49937000,3309.37627,1.67E+11
2022-04-23 9:00,49937000,50290000,49466000,49742000,1905.146898,94878858639
2022-04-24 9:00,49723000,50211000,49300000,49620000,1658.617408,82647094726
2022-04-25 9:00,49620000,50993000,48600000,50614000,4209.037602,2.08E+11
2022-04-26 9:00,50614000,51193000,48300000,48777000,4171.124098,2.08E+11
2022-04-27 9:00,48718000,50100000,48568000,49954000,2774.396468,1.37E+11
2022-04-28 9:00,49954000,51299000,49666000,50580000,3157.489825,1.59E+11
2022-04-29 9:00,50580000,50829000,49412000,49731000,2848.957459,1.42E+11
2022-04-30 9:00,49731000,49953000,49243000,49283000,2078.698534,1.03E+11
2022-05-01 9:00,49283000,49620000,48500000,49383000,2882.99454,1.42E+11
2022-05-02 9:00,49383000,50210000,49110000,49520000,2614.56356,1.30E+11
2022-05-03 9:00,49501000,49678000,48638000,48777000,2755.309315,1.36E+11
